FromElement,From,from.state,ToElement,To,to.state,Direction,Label,Type,Tags,Description,file.name
Ethnic tension & distrust,relationships,N,Affects equitable governance of the intervention,equitable.governance,N,directed,,,,"Considerable effort had to be directed towards building trust between participants— public and private organizations, national, and international partners, fishers, water sports operators, and community members of all ethnic groups, among others—and then towards maintaining and facilitating stakeholder commitment throughout the process. Participation is time consuming; so setting and meeting joint goals increased momentum while achieving combined successes encouraged continued involvement. Other background info: delete? User groups in San Andres Island (SAI) are ethnically divided: artisanal fishers are natives, while non-natives (migrants from mainland Colombia who mainly arrived after 1960 and their descendants) run tourism and watersports enterprises. In Old Providence and Santa Catalina (OPSC), natives control all stakeholder groups. After completing the inventory, a meeting was held with the groups. Because of the ethnic tension between stakeholders in SAI, this meeting was acrimonious. The level of distrust between natives and resident continentals made productive exchange impossible. Some of the hostility stemmed from different languages and social customs, making it even harder for these groups to communicate. Re-evaluating the approach, common interest groups were envisioned in which stakeholders would meet in their own languages, in places of their choosing, and in accordance with their customs [2].",kumu-davidgill-mow-et-al-final.xlsx
Diverse stakeholder groups,soc.context,N,Affects equitable governance of the intervention,equitable.governance,N,directed,,,,"After completing the inventory, a meeting was held with the groups. Because of the ethnic tension between stakeholders in SAI, this meeting was acrimonious. The level of distrust between natives and resident continentals made productive exchange impossible. Some of the hostility stemmed from different languages and social customs, making it even harder for these groups to communicate. Re-evaluating the approach, common interest groups were envisioned in which stakeholders would meet in their own languages, in places of their choosing, and in accordance with their customs [2].",kumu-davidgill-mow-et-al-final.xlsx
adoption of western approaches to marine management,gov.context,N,affects equitable governance of intervention,equitable.governance,N,directed,,,,"The adoption by the state of western approaches to the management  of marine natural resources is largely viewed as destructive to the fshing  industry, and to the environment. Furthermore, the imposition of  foreign systems of rules has eclipsed fsher’s knowledge, while simultaneously disregarding their interests. Such approaches undermine local  epistemologies and ways, practices and traditions for engaging with the  marine environment. Epistemic justice is not well served when policies  fail to take account of this knowledge, all the more so when it results, as  shown here, in negative consequences for local communities",kumu-rachelturner-baker-constant-2020-final-revised.xlsx
aspiration to integrate LEK,gov.context,P,affects equitable governance of intervention,equitable.governance,P,directed,,,,"The Seychelles has long established practices of using stakeholder engagement to overcome the challenges presented by its vast and scattered territories, and the limited resources and financial capacity of its system of public administration. Partnerships with national and international stakeholders is recognised as essential for biodiversity conservation [82]. The Mah� e Plan, for example, is committed to ‘sustainable demersal fishery that delivers best possible ecological, economic and social benefits for the Seychelles through effective, transparent and participatory management’[75]. A key aspiration here is to integrate the LEK of artisanal fishers into the Plan, drawing upon their knowledge of historical and current presence and abundance of threatened species, the sustainability of fishing catches, by-catch and the identification of important locations and habitats [83]. Furthermore, The National Development Plan of Seychelles 2008–2020 includes objectives to engage with artisanal fishers, to take account of their livelihood and food security needs [84].",kumu-rachelturner-baker-constant-2020-final-revised.xlsx
commitment to engage fishers,gov.context,P,affects equitable governance of intervention,equitable.governance,P,directed,,,,"Furthermore, The National  Development Plan of Seychelles 2008–2020 includes objectives to  engage with artisanal fshers, to take account of their livelihood and  food security needs [84].",kumu-rachelturner-baker-constant-2020-final-revised.xlsx
good stakeholder relationships,gov.context,P,affects equitable governance of intervention,equitable.governance,P,directed,,,,"There are also strong links with the academic community,  and with the private sector, especially hotel developers who have  invested in coastal restoration and employ environmental offcers to  manage and monitor their resort’s environment. These partnerships  have been crucial for enhancing capacity to manage biodiversity and to  deliver on international commitments. This bodes well for the use of  collaborative approaches to address issues arising in current MSP and  fsheries management initiatives International governance regimes, and their funding bodies also  played a critical role. The UNDP, for example, has worked in the  Seychelles to strengthen the capacity of artisanal fshermen to engage in  a collaborative partnership for MPA management",kumu-rachelturner-baker-constant-2020-final-revised.xlsx
history of stakeholder engagement,gov.context,P,affects equitable governance of intervention,equitable.governance,P,directed,,,,"The Seychelles has long established practices of using stakeholder  engagement to overcome the challenges presented by its vast and scattered territories, and the limited resources and fnancial capacity of its  system of public administration. Partnerships with national and international stakeholders is recognised as essential for biodiversity conservation [82]. The Mah!e Plan, for example, is committed to ‘sustainable  demersal fshery that delivers best possible ecological, economic and  social benefts for the Seychelles through effective, transparent and  participatory management’[75].",kumu-rachelturner-baker-constant-2020-final-revised.xlsx
lack of trust in state agencies,relationships,N,affects equitable governance of intervention,equitable.governance,N,directed,,,,"s. A dominant theme that emerges from the FGDs was the  lack of trust between artisanal fshers and the agents of the state charged  with the formulation of the MSP. This mistrust has its roots in the historical, top-down approach utilised by the state during the earlier  establishment of MPAs, which lacked consultation with stakeholders,  yet placed restrictions on fshers’ practices and thus livelihoods:  A lot of them are sceptical because, again, related to the social political context because things are being done a different way and once  you start talking about fsh size and so on, the frst question they ask  is, ‘what are you going to propose to be banned now?’ - so there is a  bit of mistrust between the civilian society and government, there is  this mistrust and it does exist, especially in fshery (Representative,  Green Islands Foundation).  Similarly,  The MPAs were just put there in the past, they were enforced on us,  without consultation with anyone, we suffer in this way because we  can’t fsh. It’s been like that a lot (Artisanal Fisherman, D).",kumu-rachelturner-baker-constant-2020-final-revised.xlsx
negative perceptions of fishing,relationships,N,affects equitable governance of intervention,equitable.governance,N,directed,,,,Our informants identifed several barriers that have limited the uptake of LEK in conservation planning. Fishers are often seen as  contributing to overfshing problems across the Mah!e Plateau and this  has led to negative perceptions of the sustainability of local fshing  practices among some conservation groups,kumu-rachelturner-baker-constant-2020-final-revised.xlsx
participatory planning process in place,gov.context,P,affects equitable governance of intervention,equitable.governance,P,directed,,,,". Similarily, to ensure compliance with the World Bank  Operational Policy, the government is currently using a participatory  planning process that requires consultation with all ‘project affected  persons’ and communities, and that any negative impacts are avoided or  adequately mitigated [66]. In short, the historic traditions of civil society and stakeholder engagement in conservation management, and the  strong co-management component of current loan conditionality both  set the context for the inclusion of LEK and offer promising avenues to  co-design and co-implement the Blue Economy policy.",kumu-rachelturner-baker-constant-2020-final-revised.xlsx
